user_id_str,in_reply_to_screen_name,created_at,in_reply_to_status_id_str,in_reply_to_user_id_str,verified,location,geo_enabled,user_created_at,statuses_count,followers_count,favourites_count,user_lang,friends_count,country,place_type
297429060,NA,Wed Dec 07 09:49:46 +0000 2016,NA,NA,FALSE,"New Jersey, USA",TRUE,Thu May 12 14:09:09 +0000 2011,3072,244,5,en,160,United States,city
43901213,DinaPugliese,Wed Dec 07 09:49:49 +0000 2016,8.06E+17,147966474,FALSE,Cochrane,TRUE,Mon Jun 01 15:16:28 +0000 2009,7548,298,3768,en,296,Canada,city
2436495827,NA,Wed Dec 07 09:49:49 +0000 2016,NA,NA,FALSE,NA,TRUE,Tue Mar 25 20:50:17 +0000 2014,5862,178,1067,en,229,United States,city
2555415841,monieke71,Wed Dec 07 09:49:51 +0000 2016,8.06E+17,3221206114,FALSE,France,TRUE,Sun Jun 08 19:54:41 +0000 2014,123574,1058,58074,fr,559,France,city
7.78E+17,NA,Wed Dec 07 09:50:00 +0000 2016,NA,NA,FALSE,"4 Ubiaja Crescent, Garki ll, Abuja. 08079699171.",TRUE,Sun Sep 18 17:15:34 +0000 2016,53,56,0,en,366,Nigeria,admin
36192464,NA,Wed Dec 07 09:50:01 +0000 2016,NA,NA,FALSE,"Stamford, England",TRUE,Tue Apr 28 21:39:07 +0000 2009,31812,1220,5786,en,748,United Kingdom,admin
19449820,NA,Wed Dec 07 09:50:17 +0000 2016,NA,NA,FALSE,WALES uk,TRUE,Sat Jan 24 15:24:50 +0000 2009,7221,4039,707,en,2352,United Kingdom,city
394958836,TetleysTea,Wed Dec 07 09:50:25 +0000 2016,NA,588472087,FALSE,"South Wales, U.K.",TRUE,Thu Oct 20 22:10:39 +0000 2011,24315,2411,30461,en,2537,United Kingdom,city
309133346,NA,Wed Dec 07 09:50:39 +0000 2016,NA,NA,FALSE,Toronto,TRUE,Wed Jun 01 15:51:09 +0000 2011,40474,1445,22139,en,3043,Canada,city
3401235778,NA,Wed Dec 07 09:50:43 +0000 2016,NA,NA,FALSE,"New York, USA",TRUE,Mon Aug 03 11:36:24 +0000 2015,4107,351,7671,en,395,United States,city
2248861878,KeithaReports,Wed Dec 07 09:51:21 +0000 2016,NA,271916396,FALSE,"Southside, Jacksonville",TRUE,Mon Dec 16 14:44:29 +0000 2013,72688,346,36911,en,652,United States,admin
131662790,NA,Wed Dec 07 09:51:36 +0000 2016,NA,NA,FALSE,España,TRUE,Sat Apr 10 23:52:41 +0000 2010,25582,188,8615,es,75,España,city
4567387397,NA,Wed Dec 07 09:52:02 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287757,142,0,en,4,Guyana,country
266160165,hongrong888,Wed Dec 07 09:52:02 +0000 2016,NA,8.03E+17,FALSE,NA,TRUE,Mon Mar 14 19:31:52 +0000 2011,4253,134,14170,en,57,United States,city
4567387397,NA,Wed Dec 07 09:52:03 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287758,142,0,en,4,Bolivia,country
59510382,AlexDenisTV,Wed Dec 07 09:52:15 +0000 2016,NA,249790861,FALSE,Astrotitan NY,TRUE,Thu Jul 23 16:18:38 +0000 2009,41607,1194,11301,en,2247,United States,city
1544936388,NA,Wed Dec 07 09:52:24 +0000 2016,NA,NA,FALSE,"Leicester, UK",TRUE,Tue Jun 25 06:22:06 +0000 2013,15699,936,44330,en,1747,United Kingdom,city
3058284412,Fox5Teresa,Wed Dec 07 09:52:37 +0000 2016,NA,538386689,FALSE,"New York, NY",TRUE,Tue Feb 24 06:24:53 +0000 2015,2113,65,527,en,1022,United States,city
59510382,heatherorourke7,Wed Dec 07 09:53:16 +0000 2016,NA,950890789,FALSE,Astrotitan NY,TRUE,Thu Jul 23 16:18:38 +0000 2009,41608,1194,11301,en,2247,United States,city
219870526,NA,Wed Dec 07 09:53:20 +0000 2016,NA,NA,FALSE,NA,TRUE,Fri Nov 26 03:34:26 +0000 2010,24370,512,16,en,557,United States,city
63798953,NA,Wed Dec 07 09:53:31 +0000 2016,NA,NA,FALSE,International,TRUE,Fri Aug 07 18:52:09 +0000 2009,37396,4224,4094,en,1813,United States,city
48404967,NA,Wed Dec 07 09:53:57 +0000 2016,NA,NA,FALSE,Worldwide,TRUE,Thu Jun 18 16:34:48 +0000 2009,91889,22648,9747,en,24883,United Kingdom,city
1343199925,NA,Wed Dec 07 09:54:00 +0000 2016,NA,NA,FALSE,"Rio de Janeiro, RJ",TRUE,Thu Apr 11 00:39:02 +0000 2013,517,69,64,pt,256,Brasil,city
2555415841,NA,Wed Dec 07 09:54:05 +0000 2016,NA,NA,FALSE,France,TRUE,Sun Jun 08 19:54:41 +0000 2014,123591,1058,58099,fr,559,France,city
7.49E+17,NA,Wed Dec 07 09:54:12 +0000 2016,NA,NA,FALSE,Republic of the Philippines,TRUE,Sat Jul 02 09:04:09 +0000 2016,132,52,353,en,137,Republic of the Philippines,city
146829560,NA,Wed Dec 07 09:54:16 +0000 2016,NA,NA,FALSE,"San Isidro,  BA, Argentina",TRUE,Sat May 22 13:07:27 +0000 2010,72759,2386,85159,es,2788,Argentina,city
141670573,NA,Wed Dec 07 09:54:19 +0000 2016,NA,NA,FALSE,Milano,TRUE,Sat May 08 18:03:19 +0000 2010,3336,113,74,it,306,Regno Unito,city
842203236,naprstky,Wed Dec 07 09:54:21 +0000 2016,8.06E+17,3407440371,FALSE,NA,TRUE,Sun Sep 23 18:46:53 +0000 2012,36742,272,27568,en,226,Republic of Serbia,city
25991511,DAMIAN1946,Wed Dec 07 09:54:31 +0000 2016,8.06E+17,198891530,FALSE,"Bradley Stoke, England",TRUE,Mon Mar 23 12:29:13 +0000 2009,12117,2180,24661,en,2442,United Kingdom,city
427754889,NA,Wed Dec 07 10:03:33 +0000 2016,NA,NA,FALSE,NA,TRUE,Sat Dec 03 22:58:25 +0000 2011,20701,1166,592,en,1190,United States,city
706224161,NA,Wed Dec 07 10:04:01 +0000 2016,NA,NA,FALSE,"Lexington,ky",TRUE,Wed Oct 09 09:17:09 +0000 2013,388,150,795,en,161,United States,admin
3420920555,FattiPatti2,Wed Dec 07 10:04:08 +0000 2016,8.06E+17,2835388914,FALSE,"Molina de Segura,Murcia,España",TRUE,Thu Aug 13 20:50:03 +0000 2015,62080,1077,255827,es,263,España,city
